,Habitat ,Valid,Empty,Total,Valid2,Empty2,Total2,Valid3,Empty3,Total3
7482,Low complexity reef,1461,3516,4977,147,210,357,61,16,77
7398,Sandy mangrove prop roots,1704,2458,4162,169,153,322,26,16,42
7426,Complex reef,714,3304,4018,72,118,190,0,16,16
7463,Seagrass bed,1790,1465,3255,180,148,328,0,16,16
7434,Low algal bed,1141,1654,2795,115,167,282,0,17,17
7623,Reef trench,1096,1557,2653,111,76,187,32,16,48
7490,Boulders,1903,411,2314,185,42,227,0,16,16
7585,Mixed substratum mangrove - prop roots,949,1190,2139,97,80,177,12,16,28
7117,Rocky Mangrove - prop roots,2029,90,2119,202,9,211,18,9,27
7393,Upper Mangrove – medium Rhizophora,547,1554,2101,55,74,129,0,21,21
9907,Rock shelf,394,1454,1848,40,146,186,0,19,19
9894,Mangrove - mixed pneumatophore prop root,244,1298,1542,26,131,157,15,18,33
7268,Sparse algal bed,1467,0,1467,0,0,0,0,0,0
9866,Muddy mangrove - pneumatophores and trunk,855,262,1117,86,27,113,63,16,79
9908,Large boulder and pneumatophores,298,602,900,30,61,91,19,18,37
9898,Rocky mangrove - large boulder and trunk,117,443,560,12,45,57,10,18,28
9892,Bare substratum,166,360,526,18,37,55,16,16,32
9852,Upper mangrove - tall rhizophora,221,254,475,23,26,49,14,14,28
9862,Large boulder,123,311,434,13,32,45,11,16,27
9870,Muddy mangrove – pneumatophores,190,174,364,19,18,37,13,16,29
,,17409,22357,39766,1600,1600,3200,310,310,620
